ds,yhat,yhat_lower,yhat_upper
2024-01-01 00:00:00,60.17166816807536,51.24932753357754,68.95179914645443
2024-01-01 01:00:00,60.70675675934312,51.98641698245808,69.61826564816263
2024-01-01 02:00:00,61.25409496243281,52.838618750380405,69.61397680743424
2024-01-01 03:00:00,61.40886522827331,52.54868589888257,69.48487716616295
2024-01-01 04:00:00,61.0555268769111,52.905375244506025,69.4094402650979
2024-01-01 05:00:00,60.43359710750271,51.42910509047728,68.99828747715914
2024-01-01 06:00:00,59.92607670417805,51.74932878521491,68.40703631402519
2024-01-01 07:00:00,59.76649415688693,51.473744820226855,68.1903274018043
2024-01-01 08:00:00,59.90630246256814,51.4364792382296,68.02700491247232
2024-01-01 09:00:00,60.118319646600526,51.65342629212658,68.64615001042914
2024-01-01 10:00:00,60.20336725436466,51.928261137607215,68.19203634979507
2024-01-01 11:00:00,60.1085997800845,51.36328747639571,68.56089633228252
2024-01-01 12:00:00,59.88977046273922,51.52562793914257,67.76562010730915
2024-01-01 13:00:00,59.61132197808064,50.61629640016664,67.95791397559827
2024-01-01 14:00:00,59.31283078576609,50.32384186179242,67.64638896066872
2024-01-01 15:00:00,59.05950101749467,51.340460046170186,67.47314962974268
2024-01-01 16:00:00,58.97504143308627,50.18690470254244,67.19378469372455
2024-01-01 17:00:00,59.16747635351962,50.49093464658555,67.37367723874628
2024-01-01 18:00:00,59.59324198023238,51.050994892891794,67.68762118836638
2024-01-01 19:00:00,60.011303794693205,52.3132497366327,68.92902542551377
2024-01-01 20:00:00,60.12448181357251,51.56506849300411,68.22734949991458
2024-01-01 21:00:00,59.82347922245872,50.84331475736814,68.74475409265361
2024-01-01 22:00:00,59.31874729420444,51.09307138270356,68.17491508380218
2024-01-01 23:00:00,59.01285679905427,49.4844178646624,67.25092088702647
2024-01-02 00:00:00,59.190093279933144,50.62804703560882,68.01579550116267
2024-01-02 01:00:00,59.77727506787418,51.51427041093255,67.56815292095747
2024-01-02 02:00:00,60.38625514585477,52.20411046639368,69.18219321111253
2024-01-02 03:00:00,60.61153874474176,52.457557339962435,69.42165335591446
2024-01-02 04:00:00,60.336799626003476,52.04529668210925,68.91143028875983
2024-01-02 05:00:00,59.800670473438146,51.65263247526279,68.57573296535327
2024-01-02 06:00:00,59.38517922178714,51.23179265701226,68.08789428695495
2024-01-02 07:00:00,59.322804908925455,50.9515022389133,67.67611731691176
2024-01-02 08:00:00,59.56388717382251,50.64238243685674,67.90973053440975
2024-01-02 09:00:00,59.88008028167884,51.70157283587136,68.34838284484856
2024-01-02 10:00:00,60.07100575986642,51.443569290514304,68.64931659966426
2024-01-02 11:00:00,60.08259643620315,51.332806090266764,68.5314479732472
2024-01-02 12:00:00,59.96937712802696,51.214227247609124,69.10384041265645
2024-01-02 13:00:00,59.79457032646602,50.73147194478924,67.79887979847861
2024-01-02 14:00:00,59.5965554484595,50.94972088154481,68.28456861522129
2024-01-02 15:00:00,59.439377357788366,51.128514410041625,67.77566458620093
2024-01-02 16:00:00,59.445637499039954,51.600510569486346,68.07759609255295
2024-01-02 17:00:00,59.7223183784555,50.82207531505644,68.57673852524408
2024-01-02 18:00:00,60.22489263162466,51.68196689436651,68.36032891455525
2024-01-02 19:00:00,60.711452213807604,51.94801471159342,69.17247984712773
2024-01-02 20:00:00,60.88404434096037,52.743440433818954,69.25949195732484
2024-01-02 21:00:00,60.632709572301515,51.88079100314949,68.95647391974876
2024-01-02 22:00:00,60.16735482184796,52.168880907452326,68.78479646460653
2024-01-02 23:00:00,59.890131406027784,51.250947469149075,68.07106657700507
2024-01-03 00:00:00,60.08503541779915,51.40021198359018,68.54184646462413
2024-01-03 01:00:00,60.678729238838265,51.825470976296636,69.41286125220888
2024-01-03 02:00:00,61.28304525467092,53.170421857405934,69.87256345525695
2024-01-03 03:00:00,61.49260363302101,52.59691507849872,70.03674300154603
2024-01-03 04:00:00,61.19132711819746,53.16210524260475,69.87764673300913
2024-01-03 05:00:00,60.618228282410975,52.090878671272975,68.81080437723386
2024-01-03 06:00:00,60.15584110033692,51.58110811508804,68.64873513827095
2024-01-03 07:00:00,60.03727049399701,51.52417032161244,68.41398802554289
2024-01-03 08:00:00,60.21359404767866,51.88963182762669,68.89920319490031
2024-01-03 09:00:00,60.4573068719176,52.01127452833496,69.02523844793042
2024-01-03 10:00:00,60.568963814123464,52.25965898154935,68.63478941257985
2024-01-03 11:00:00,60.495511937164665,52.10619502938553,69.54374690965855
2024-01-03 12:00:00,60.29255865857992,52.01914028802037,68.96737968398232
2024-01-03 13:00:00,60.024464050680244,51.293380263922245,68.35864484761872
2024-01-03 14:00:00,59.73078604103597,51.34112552477339,68.11992265492125
2024-01-03 15:00:00,59.476774389417486,51.782064753378656,68.27051850855051
2024-01-03 16:00:00,59.38624696568796,51.353174177897664,68.58606635750326
2024-01-03 17:00:00,59.56739924800433,51.16341083271627,67.93481973663464
2024-01-03 18:00:00,59.97689846684753,51.26687901050493,68.2026023441132
2024-01-03 19:00:00,60.37399811626102,52.173870391012535,68.53754040827523
2024-01-03 20:00:00,60.46185964322132,52.054851699165184,68.8493188776325
2024-01-03 21:00:00,60.131576881503186,51.81698720496536,69.27021717953998
2024-01-03 22:00:00,59.59403618811147,51.49379149335632,68.12266083823188
2024-01-03 23:00:00,59.252282548981476,51.01002347099381,68.65880970003002
2024-01-04 00:00:00,59.391109086074664,51.04862256593801,68.07755645278783
2024-01-04 01:00:00,59.937868924668024,51.80670697414984,69.10600304105067
2024-01-04 02:00:00,60.50497059091044,52.25676215415472,68.87028182846502
2024-01-04 03:00:00,60.687488909375155,52.3561601874962,69.05748509103937
